date,casos_total,fallecidos total,ccaa_text,cod_ccaa
31/03/2020,1069,42,Baleares,4
31/03/2020,1262,55,Canarias,5
31/03/2020,1171,37,Cantabria,6
31/03/2020,6424,708,Castilla-La Mancha,8
31/03/2020,6211,516,Castilla y León,7
31/03/2020,18773,1672,Cataluña,9
31/03/2020,34,1,Ceuta,18
31/03/2020,5508,339,C. Valenciana,10
31/03/2020,1628,133,Extremadura,11
31/03/2020,4039,84,Galicia,12
31/03/2020,27509,3603,Madrid,13
31/03/2020,54,1,Melilla,19
31/03/2020,974,34,Murcia,14
31/03/2020,2305,113,Navarra,15
31/03/2020,6320,325,País Vasco,16
31/03/2020,1810,85,La Rioja,17
31/03/2020,94417,8189,Total,0
01/04/2020,6392,308,Andalucía,1
01/04/2020,2491,169,Aragón,2
01/04/2020,1322,63,Asturias,3
01/04/2020,1131,46,Baleares,4
01/04/2020,1380,62,Canarias,5
01/04/2020,1213,54,Cantabria,6
01/04/2020,7047,774,Castilla-La Mancha,8
01/04/2020,6847,585,Castilla y León,7
01/04/2020,19991,1849,Cataluña,9
01/04/2020,51,1,Ceuta,18
01/04/2020,5922,395,C. Valenciana,10
01/04/2020,1679,152,Extremadura,11
01/04/2020,4432,103,Galicia,12
01/04/2020,29840,3865,Madrid,13
01/04/2020,62,1,Melilla,19
01/04/2020,1041,37,Murcia,14
01/04/2020,2497,130,Navarra,15
01/04/2020,6838,369,País Vasco,16
01/04/2020,1960,90,La Rioja,17
01/04/2020,102136,9053,Total,0
02/04/2020,6972,343,Andalucía,1
02/04/2020,2700,200,Aragón,2
02/04/2020,1384,69,Asturias,3
02/04/2020,1204,58,Baleares,4
02/04/2020,1444,68,Canarias,5
02/04/2020,1268,60,Cantabria,6
02/04/2020,7682,854,Castilla-La Mancha,8
02/04/2020,7355,641,Castilla y León,7
02/04/2020,21804,2093,Cataluña,9
02/04/2020,55,1,Ceuta,18
02/04/2020,6308,443,C. Valenciana,10
02/04/2020,1837,181,Extremadura,11
02/04/2020,4842,120,Galicia,12
02/04/2020,32155,4175,Madrid,13
02/04/2020,62,1,Melilla,19
02/04/2020,1084,42,Murcia,14
02/04/2020,2682,141,Navarra,15
02/04/2020,7317,412,País Vasco,16
02/04/2020,2083,101,La Rioja,17
02/04/2021,110238,10003,Total,0
03/04/2020,7374,376,Andalucía,1
03/04/2020,2889,224,Aragón,2
03/04/2020,1433,70,Asturias,3
03/04/2020,1257,69,Baleares,4
